time_step,score_mean,score_plus_std,score_minus_std, 0_mean, 0_plus_std, 0_minus_std,exit_rate_mean,exit_rate_plus_std,exit_rate_minus_std
880000,0.426621160409556,1.53954701387156,-0.686304693052447,0.0750853242320819,0.339065157332803,0,0.0187713310580205,0.0847662893332006,0
885000,0.454225352112676,1.45317343768013,-0.54472273345478,0.0633802816901408,0.307456060121516,0,0.0158450704225352,0.0768640150303789,0
890000,0.390572390572391,1.42166601539705,-0.640521234252273,0.0572390572390572,0.289929955524861,0,0.0143097643097643,0.0724824888812152,0
895000,0.395759717314488,1.3844814217016,-0.592961987072627,0.0600706713780919,0.298109337009042,0,0.015017667844523,0.0745273342522605,0
900000,0.498257839721254,1.50479092033865,-0.508275240896137,0.0662020905923345,0.315271409156785,0,0.0165505226480836,0.0788178522891962,0
905000,0.448763250883392,1.40156253678368,-0.504036035016891,0.0848056537102474,0.36389144793005,0,0.0212014134275618,0.0909728619825125,0
910000,0.542857142857143,1.6129553098706,-0.527241024156319,0.0714285714285714,0.329429075522357,0,0.0178571428571429,0.0823572688805891,0
915000,0.590747330960854,1.67296717768546,-0.491472515763755,0.0711743772241993,0.328749002024719,0,0.0177935943060498,0.0821872505061798,0
920000,0.453571428571429,1.45428162185269,-0.547138764709833,0.0571428571428571,0.28967384544823,0,0.0142857142857143,0.0724184613620575,0
925000,0.565693430656934,1.54031182737643,-0.408924966062564,0.0802919708029197,0.352533895121239,0,0.0200729927007299,0.0881334737803097,0
930000,0.458483754512635,1.49193260822994,-0.574965099204674,0.0577617328519856,0.291476319988657,0,0.0144404332129964,0.0728690799971642,0
935000,0.447552447552448,1.4883235630161,-0.593218667911208,0.0559440559440559,0.28616054524706,0,0.013986013986014,0.0715401363117651,0
940000,0.409722222222222,1.42811197698486,-0.608667532540412,0.0625,0.304982802292586,0,0.015625,0.0762457005731466,0
945000,0.503623188405797,1.47782939545867,-0.470583018647075,0.0398550724637681,0.235829042932933,0,0.00996376811594203,0.0589572607332333,0
950000,0.448763250883392,1.45935795526149,-0.561831453494705,0.0459363957597173,0.255654433883821,0,0.0114840989399293,0.0639136084709552,0
955000,0.485611510791367,1.51836473765278,-0.547141716070043,0.0503597122302158,0.269440199795142,0,0.012589928057554,0.0673600499487856,0
960000,0.43298969072165,1.44914081132003,-0.583161429876735,0.0618556701030928,0.303163871502396,0,0.0154639175257732,0.075790967875599,0
965000,0.460207612456747,1.48725906149405,-0.566843836580557,0.041522491349481,0.241363835571437,0,0.0103806228373702,0.0603409588928592,0
970000,0.428571428571429,1.47351549018817,-0.616372633045313,0.0348432055749129,0.21854606636868,0,0.00871080139372822,0.05463651659217,0
975000,0.452631578947368,1.42516009389155,-0.519896935996816,0.056140350877193,0.286737817255027,0,0.0140350877192982,0.0716844543137569,0
980000,0.492805755395683,1.51509456477699,-0.529483053985624,0.0647482014388489,0.311273017846968,0,0.0161870503597122,0.077818254461742,0
985000,0.419928825622776,1.33887309289076,-0.499015441645206,0.0604982206405694,0.299331173687481,0,0.0151245551601423,0.0748327934218703,0
990000,0.338983050847458,1.3493067931883,-0.671340691493382,0.064406779661017,0.310300064312862,0,0.0161016949152542,0.0775750160782154,0
995000,0.40893470790378,1.4198011334047,-0.601931717597137,0.0515463917525773,0.273036674280225,0,0.0128865979381443,0.0682591685700562,0
1000000,0.453900709219858,1.40615500677581,-0.498353588336094,0.0567375886524823,0.288902851385429,0,0.0141843971631206,0.0722257128463572,0
